product_id,product_name,source_url
90977,Glamira Ringar Emilia 0.93Crt,https://www.glamira.se/glamira-ringar-emilia-0.93crt.html?alloy=white-silber&diamond=blackdiamond&stone2=diamond-Swarovsky
95508,Glamira Ring Carnation,https://www.glamira.fr/glamira-ring-carnation.html?fbclid=IwAR2X2K1vGJH0LW1c2Zoys9MWLFFFqwHzE0QJZnyZfzSv-i0KKVwimYdBLNs
100489,Glamira Cufflink Akhilan,https://www.glamira.bg/glamira-cufflink-akhilan.html?fbclid=IwAR30YNMvphITdwToOhvbBVqjM0h8UhfJrsYFyz1-Lk6hh08G4CDiTmqkp44
102152,Damenring Silver Inspiration Cloud,https://www.glamira.ch/damenring-silver-inspiration-cloud.html?stone=diamond-Zirconia&itm_source=recommendation&itm_medium=viewall&fbclid=IwAR1lp8xVzfYqIJLrplAR1PJ7BnndTbSAiU3ulkBQIvDQaRNRXuJHiEuYnZc
94741,Alluring Choice 6Mm,https://www.glamira.fr/alluring-choice-6mm.html?stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR1n4crrrOY7AML0ImdKapvWjti-pKZP-NE8oupYx7Yla4GrcbGD2HdCW2A&alloy=white_yellow-375
106256,Damenring Strong Love 10 Mm,https://www.glamira.at/damenring-strong-love-10-mm.html?alloy=white-silber
110597,Glamira Pendant Denna,https://www.glamira.dk/glamira-pendant-denna.html?fbclid=IwAR1v_YK9WfiCeGbK_FQeRmNCNoz3VBV8RCeYyaoqc-n_o5J87ITPg_62VTE
92391,Glamira Ring Berdina,https://www.glamira.ie/glamira-ring-berdina.html?itm_source=recommendation&itm_medium=sorting&stone3=blackdiamond&fbclid=IwAR1GqUUMSUAcKCbri9iJnn9zEWB9h_PGyhENyiyi30K8P6aH4zAfvd8T9JI
92506,Glamira Pendant Rada,https://www.glamira.co.uk/glamira-pendant-rada.html?fbclid=IwAR07soVD8alRjl15cpYS8Zxi6BCczAuti6MFwENj02yB6Qv543oqgbjp0ok
102938,Glamira Earring Adken,https://www.glamira.com/glamira-earring-adken.html?fbclid=IwAR2CDD6BfMqxIf3JWed7I0iTsXbr2D0DFu9nC8UGhI4Z-7r7YfW75AwSHDw
95555,Glamira Ring Sandia,https://www.glamira.se/glamira-ring-sandia.html?itm_source=recommendation&itm_medium=sorting&diamond=diamond-Brillant&alloy=white-silber
97939,Damenring Immortal Luxury 3 Mm,https://www.glamira.bg/damenring-immortal-luxury-3-mm.html?fbclid=IwAR0195TFEOg57emIIlPaFofQZvtIiX7_r3k5vHX_hWY0o8JzYyh9hrBg6a8&alloy=white_red-585
108268,Men S Ring Dynamic Plain 6 Mm,https://www.glamira.ie/men-s-ring-dynamic-plain-6-mm.html?fbclid=IwAR3AVYVCuXX7xpKWxqNuqfleBfKyfwso0gl7WcpQSg-dKeN0Vkr_sfcxMY4&alloy=white-585
97430,Glamira Pendant Marrakesh,https://www.glamira.com.tr/glamira-pendant-marrakesh.html?alloy=yellow_white-585&diamond=sapphire&fbclid=IwAR2T7UW4AzW2_ZHR3JQef3v9s1HxBnv4Zui5D_y1n5Vdp8vGARS3sDV-zNQ
109113,Damenring Magic Trend 10 Mm,https://www.glamira.at/damenring-magic-trend-10-mm.html?fbclid=IwAR0An0C7ejr_qBEpMPqevyazl8KBPU5m7LcVKyV7lSd7TABb52ET-m3HrVs&alloy=white-585
102530,Glamira Ring Brambles,https://www.glamira.co.uk/glamira-ring-brambles.html?diamond=emerald&stone2=diamond-Brillant&alloy=red-750
105657,Splendid Life 10 Mm,https://www.glamira.ee/splendid-life-10-mm.html?stone=diamond-Zirconia&itm_source=recommendation&itm_medium=smartsearch&fbclid=IwAR0jXqNMI8t3gO9v2o1zgwEscWkCVI7hLSchbhjK094bJNQeZOtrKLuEtbY&alloy=red-585
96266,Womens Ring Smart Sentiment 6 Mm,https://www.glamira.co.uk/womens-ring-smart-sentiment-6-mm.html?alloy=white_red-585&campaignid=1492025010&gclid=EAIaIQobChMIrN-W_KTm6QIVg7HtCh0o3gLbEA0YCCABEgI-7PD_BwE
103878,Glamira Ring Felinda,https://www.glamira.dk/glamira-ring-felinda.html?alloy=white-585&diamond=ruby-cabochon&stone2=diamond-sapphire
106895,Ferfi Gyuru Unique Trueness 4 Mm,https://www.glamira.hu/ferfi-gyuru-unique-trueness-4-mm.html?stone=diamond-Zirconia&fbclid=IwAR1GuG4_i9Tbn8KIiMU1vYBgKmkelEOfEHMO-8RltDHqzRKbhKVW_Cw3gF8&alloy=red-585
92889,Classic Tour 3Mm,https://www.glamira.ie/classic-tour-3mm.html?keyword&matchtype&fbclid=IwAR0vdOKe6RvFr9ctplfyGjqKliN0bdHX1eT4lKy1_k3wuadM8OapT4HaMbQ&alloy=white-375
104285,Glamira Earring Jimin,https://www.glamira.at/glamira-earring-jimin.html?fbclid=IwAR1ShWg_gwg8HcuZNYmlSb2qfvJKWUJW4jDfTo54_NmeeAnsNpi26OSkl4o
